origin,destination,flows,pop.destination
"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End","Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",21553,45238
"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",Boston_Charlestown,158,15195
"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",Boston_Dorchester,59,132393
"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",Boston_East Boston,,41604
"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",Boston_Fenway,98,43708
"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",Boston_Hyde Park,,36604
"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",Boston_Jamaica Plain,61,33881
"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",Boston_Mattapan,,23974
"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",Boston_Roslindale,,28003
"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",Boston_Roxbury,,33389
"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",Boston_South Boston,192,34837
"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",Boston_South End,326,25242
"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",Boston_West Roxbury,,28753
"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",Brockton_Ward 1,,20218
"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",Brockton_Ward 2,,12824
"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",Brockton_Ward 5,,13089
"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",Brockton_Ward 6,,15208
"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",Brockton_Ward 7,,16616
"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",BRPC_Developing Suburbs,,46115
"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",BRPC_Regional Urban Centers,,63046
"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",BRPC_Rural Towns,,25792
"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",Cambridge_All,263,101355
"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",CCC_Developing Suburbs,,21906
"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",CCC_Maturing Suburbs,53,201577
"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",CCC_Rural Towns,,8267
"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",Chelsea_Ward 3,,17797
"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",Chelsea_Ward 4,,17283
"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",CMRPC_Developing Suburbs,,308392
"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",CMRPC_Regional Urban Centers,,30538
"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",Everett_All,,38037
"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",Framingham_All,,66910
"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",FRCOG_Developing Suburbs,,38925
"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",ICC_Inner Core,416,417536
"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",ICC_Maturing Suburbs,,52140
