"","origin","destination","flows","population"
"463","Newton Ward 2","TRIC Maturing Suburbs",63,172876
"464","Newton Ward 3","ICC Inner Core",111,417536
"465","Newton Ward 3","Newton Ward 2",68,24821
"466","Newton Ward 5","ICC Inner Core",111,417536
"467","Newton Ward 5","Metrowest Maturing Suburbs",65,106807
"468","Newton Ward 5","Newton Ward 2",55,24821
"469","Newton Ward 5","TRIC Maturing Suburbs",53,172876
"470","NMCOG Developing Suburbs","ICC Inner Core",70,417536
"471","NMCOG Developing Suburbs","Lowell Centralville",70,15808
"472","NMCOG Developing Suburbs","Lowell Lower Belvidere",75,33301
"473","NMCOG Developing Suburbs","Lowell Pawtucketville",80,14355
"474","NMCOG Developing Suburbs","MRPC Developing Suburbs",137,104376
"475","NMCOG Developing Suburbs","MVPC Regional Urban Centers",60,136397
"476","NMCOG Developing Suburbs","NMCOG Maturing Suburbs",169,101690
"477","NMCOG Developing Suburbs","NSPC Maturing Suburbs",55,161159
"478","NMCOG Maturing Suburbs","ICC Inner Core",137,417536
"479","NMCOG Maturing Suburbs","Lowell Highlands",62,17818
"480","NMCOG Maturing Suburbs","Lowell Lower Belvidere",136,33301
"481","NMCOG Maturing Suburbs","Lowell Pawtucketville",51,14355
"482","NMCOG Maturing Suburbs","MAGIC Maturing Suburbs",78,115604
"483","NMCOG Maturing Suburbs","MRPC Developing Suburbs",58,104376
"484","NMCOG Maturing Suburbs","MVPC Developing Suburbs",104,110116
"485","NMCOG Maturing Suburbs","MVPC Regional Urban Centers",88,136397
"486","NMCOG Maturing Suburbs","NMCOG Developing Suburbs",279,74368
"487","NMCOG Maturing Suburbs","NSPC Maturing Suburbs",192,161159
"488","NMCOG Maturing Suburbs","NSPC Regional Urban Centers",68,37258
"489","NSPC Maturing Suburbs","Boston Downtown",78,45238
"490","NSPC Maturing Suburbs","Cambridge All",54,101355
"491","NSPC Maturing Suburbs","ICC Inner Core",580,417536
"492","NSPC Maturing Suburbs","ICC Maturing Suburbs",105,52140
"493","NSPC Maturing Suburbs","MAGIC Maturing Suburbs",140,115604
"494","NSPC Maturing Suburbs","MVPC Developing Suburbs",254,110116
"495","NSPC Maturing Suburbs","MVPC Regional Urban Centers",159,136397
"496","NSPC Maturing Suburbs","NMCOG Developing Suburbs",93,74368
"497","NSPC Maturing Suburbs","NMCOG Maturing Suburbs",321,101690
"498","NSPC Maturing Suburbs","NSPC Regional Urban Centers",283,37258
"499","NSPC Maturing Suburbs","NSTF Developing Suburbs",79,55889
"500","NSPC Maturing Suburbs","NSTF Maturing Suburbs",71,63633
"501","NSPC Maturing Suburbs","NSTF Regional Urban Centers",218,158671
"502","NSPC Regional Urban Centers","ICC Inner Core",160,417536
"503","NSPC Regional Urban Centers","MAGIC Maturing Suburbs",59,115604
"504","NSPC Regional Urban Centers","NMCOG Maturing Suburbs",127,101690
"505","NSPC Regional Urban Centers","NSPC Maturing Suburbs",307,161159
"506","NSTF Developing Suburbs","MVPC Developing Suburbs",136,110116
"507","NSTF Developing Suburbs","MVPC Regional Urban Centers",67,136397
"508","NSTF Developing Suburbs","NSTF Maturing Suburbs",81,63633
"509","NSTF Developing Suburbs","NSTF Regional Urban Centers",358,158671
"510","NSTF Maturing Suburbs","ICC Inner Core",94,417536
"511","NSTF Maturing Suburbs","Lynn Ward 3",54,22132
"512","NSTF Maturing Suburbs","MVPC Developing Suburbs",73,110116
"513","NSTF Maturing Suburbs","NSTF Developing Suburbs",109,55889
"514","NSTF Maturing Suburbs","NSTF Regional Urban Centers",420,158671
"515","NSTF Regional Urban Centers","ICC Inner Core",241,417536
"516","NSTF Regional Urban Centers","ICC Maturing Suburbs",63,52140
"517","NSTF Regional Urban Centers","Lynn Ward 1",64,13903
"518","NSTF Regional Urban Centers","Lynn Ward 3",94,22132
"519","NSTF Regional Urban Centers","Lynn Ward 4",54,17440
"520","NSTF Regional Urban Centers","Lynn Ward 7",52,15589
"521","NSTF Regional Urban Centers","MVPC Developing Suburbs",223,110116
"522","NSTF Regional Urban Centers","MVPC Regional Urban Centers",177,136397
"523","NSTF Regional Urban Centers","NSPC Maturing Suburbs",222,161159
"524","NSTF Regional Urban Centers","NSTF Developing Suburbs",440,55889
"525","NSTF Regional Urban Centers","NSTF Maturing Suburbs",520,63633
"526","OCPC Developing Suburbs","Brockton Ward 1",62,20218
"527","OCPC Developing Suburbs","CCC Maturing Suburbs",229,201577
"528","OCPC Developing Suburbs","ICC Inner Core",87,417536
"529","OCPC Developing Suburbs","Quincy South Quincy",64,27277
"530","OCPC Developing Suburbs","SRPEDD Developing Suburbs",702,272896
"531","OCPC Developing Suburbs","SRPEDD Regional Urban Centers",145,116278
"532","OCPC Developing Suburbs","SSC Developing Suburbs",190,41968
"533","OCPC Developing Suburbs","SSC Maturing Suburbs",660,198636
"534","OCPC Developing Suburbs","TRIC Maturing Suburbs",183,172876
"535","PVPC Developing Suburbs","CMRPC Developing Suburbs",120,308392
"536","PVPC Developing Suburbs","FRCOG Developing Suburbs",52,38925
"537","PVPC Developing Suburbs","PVPC Maturing Suburbs",59,15633
"538","PVPC Developing Suburbs","PVPC Regional Urban Centers",1136,239962
"539","PVPC Developing Suburbs","PVPC Rural Towns",106,27236
"540","PVPC Developing Suburbs","Springfield East Forest Park",59,10618
"541","PVPC Developing Suburbs","Springfield Forest Park",92,24733
"542","PVPC Developing Suburbs","Springfield Indian Orchard",71,11428
"543","PVPC Developing Suburbs","Springfield Sixteen Acres",114,22937
"544","PVPC Maturing Suburbs","PVPC Developing Suburbs",56,173566
"545","PVPC Regional Urban Centers","CMRPC Developing Suburbs",62,308392
"546","PVPC Regional Urban Centers","FRCOG Developing Suburbs",130,38925
"547","PVPC Regional Urban Centers","FRCOG Rural Towns",122,32610
"548","PVPC Regional Urban Centers","ICC Inner Core",56,417536
"549","PVPC Regional Urban Centers","PVPC Developing Suburbs",1287,173566
"550","PVPC Regional Urban Centers","PVPC Rural Towns",217,27236
"551","PVPC Regional Urban Centers","Springfield East Forest Park",55,10618
"552","PVPC Regional Urban Centers","Springfield Forest Park",117,24733
"553","PVPC Regional Urban Centers","Springfield Indian Orchard",64,11428
"554","PVPC Regional Urban Centers","Springfield Liberty Heights",134,17819
"555","PVPC Regional Urban Centers","Springfield McKnight",140,28486
"556","PVPC Regional Urban Centers","Springfield Pine Point",78,19112
"557","PVPC Regional Urban Centers","Springfield Sixteen Acres",96,22937
"558","PVPC Regional Urban Centers","Springfield South End",78,16949
"559","PVPC Rural Towns","CMRPC Developing Suburbs",60,308392
"560","PVPC Rural Towns","PVPC Developing Suburbs",101,173566
"561","PVPC Rural Towns","PVPC Regional Urban Centers",197,239962
"562","Quincy Houghs Neck","SSC Maturing Suburbs",93,198636
"563","Quincy North Quincy","ICC Inner Core",52,417536
"564","Quincy North Quincy","Quincy Quincy Center",73,15681
"565","Quincy North Quincy","Quincy South Quincy",92,27277
"566","Quincy North Quincy","Quincy Wollaston",85,14501
"567","Quincy North Quincy","SSC Maturing Suburbs",155,198636
"568","Quincy Quincy Center","Quincy South Quincy",111,27277
"569","Quincy Quincy Center","SSC Maturing Suburbs",155,198636
"570","Quincy Quincy Center","TRIC Maturing Suburbs",51,172876
"571","Quincy South Quincy","Boston Dorchester",55,132393
"572","Quincy South Quincy","ICC Inner Core",79,417536
"573","Quincy South Quincy","OCPC Developing Suburbs",109,184584
"574","Quincy South Quincy","Quincy Houghs Neck",58,13394
"575","Quincy South Quincy","Quincy North Quincy",58,17172
"576","Quincy South Quincy","Quincy Quincy Center",122,15681
"577","Quincy South Quincy","SSC Maturing Suburbs",373,198636
"578","Quincy South Quincy","TRIC Maturing Suburbs",122,172876
"579","Quincy Wollaston","Quincy North Quincy",90,17172
"580","Quincy Wollaston","Quincy South Quincy",64,27277
"581","Quincy Wollaston","SSC Maturing Suburbs",111,198636
"582","Somerville 2143","Cambridge All",200,101355
"583","Somerville 2143","ICC Inner Core",304,417536
"584","Somerville 2143","NSPC Maturing Suburbs",51,161159
"585","Somerville 2143","Somerville 2144",120,29483
"586","Somerville 2143","Somerville 2145",102,27210
"587","Somerville 2144","Boston Allston/Brighton",61,75954
"588","Somerville 2144","Boston Downtown",73,45238
"589","Somerville 2144","Cambridge All",276,101355
"590","Somerville 2144","ICC Inner Core",538,417536
"591","Somerville 2144","NSPC Maturing Suburbs",77,161159
"592","Somerville 2144","Somerville 2143",133,20785
"593","Somerville 2144","Somerville 2145",109,27210
"594","Somerville 2145","Cambridge All",62,101355
"595","Somerville 2145","Everett All",78,38037
"596","Somerville 2145","ICC Inner Core",327,417536
"597","Somerville 2145","Somerville 2143",75,20785
"598","Somerville 2145","Somerville 2144",86,29483
"599","Springfield East Forest Park","PVPC Developing Suburbs",85,173566
"600","Springfield Forest Park","PVPC Developing Suburbs",150,173566
"601","Springfield Forest Park","PVPC Regional Urban Centers",134,239962
"602","Springfield Forest Park","Springfield McKnight",81,28486
"603","Springfield Forest Park","Springfield Pine Point",52,19112
"604","Springfield Forest Park","Springfield Sixteen Acres",58,22937
"605","Springfield Forest Park","Springfield South End",63,16949
"606","Springfield Indian Orchard","PVPC Developing Suburbs",97,173566
"607","Springfield Indian Orchard","PVPC Regional Urban Centers",64,239962
"608","Springfield Liberty Heights","PVPC Developing Suburbs",67,173566
"609","Springfield Liberty Heights","PVPC Regional Urban Centers",134,239962
"610","Springfield Liberty Heights","Springfield McKnight",74,28486
"611","Springfield Liberty Heights","Springfield Pine Point",67,19112
"612","Springfield Liberty Heights","Springfield South End",61,16949
"613","Springfield McKnight","PVPC Developing Suburbs",74,173566
"614","Springfield McKnight","PVPC Regional Urban Centers",133,239962
"615","Springfield McKnight","Springfield Forest Park",94,24733
"616","Springfield McKnight","Springfield Indian Orchard",55,11428
"617","Springfield McKnight","Springfield Liberty Heights",73,17819
"618","Springfield McKnight","Springfield Pine Point",83,19112
"619","Springfield McKnight","Springfield South End",84,16949
"620","Springfield Pine Point","PVPC Developing Suburbs",52,173566
"621","Springfield Pine Point","PVPC Regional Urban Centers",81,239962
"622","Springfield Pine Point","Springfield Forest Park",60,24733
"623","Springfield Pine Point","Springfield Liberty Heights",92,17819
"624","Springfield Pine Point","Springfield McKnight",79,28486
"625","Springfield Pine Point","Springfield South End",74,16949
"626","Springfield Sixteen Acres","PVPC Developing Suburbs",160,173566
"627","Springfield Sixteen Acres","PVPC Regional Urban Centers",89,239962
"628","Springfield South End","PVPC Developing Suburbs",62,173566
"629","Springfield South End","PVPC Regional Urban Centers",132,239962
"630","Springfield South End","Springfield Forest Park",90,24733
"631","Springfield South End","Springfield Liberty Heights",86,17819
"632","Springfield South End","Springfield McKnight",105,28486
"633","Springfield South End","Springfield Pine Point",77,19112
"634","SRPEDD Developing Suburbs","CCC Maturing Suburbs",236,201577
"635","SRPEDD Developing Suburbs","CMRPC Developing Suburbs",82,308392
"636","SRPEDD Developing Suburbs","Fall River Sector 2",51,16515
"637","SRPEDD Developing Suburbs","Fall River Sector 7",93,23223
"638","SRPEDD Developing Suburbs","Fall River Sector 8",66,12871
"639","SRPEDD Developing Suburbs","Fall River Sector 9",118,14922
"640","SRPEDD Developing Suburbs","ICC Inner Core",58,417536
"641","SRPEDD Developing Suburbs","New Bedford Neighborhood 1",173,18383
"642","SRPEDD Developing Suburbs","New Bedford Neighborhood 2",124,19765
"643","SRPEDD Developing Suburbs","New Bedford Neighborhood 3",118,19180
"644","SRPEDD Developing Suburbs","New Bedford Neighborhood 4",135,16801
"645","SRPEDD Developing Suburbs","New Bedford Neighborhood 5",98,19639
"646","SRPEDD Developing Suburbs","OCPC Developing Suburbs",513,184584
"647","SRPEDD Developing Suburbs","SRPEDD Maturing Suburbs",104,22414
"648","SRPEDD Developing Suburbs","SRPEDD Regional Urban Centers",836,116278
"649","SRPEDD Developing Suburbs","SSC Maturing Suburbs",124,198636
"650","SRPEDD Developing Suburbs","SWAP Developing Suburbs",134,103784
"651","SRPEDD Developing Suburbs","TRIC Developing Suburbs",96,44628
"652","SRPEDD Developing Suburbs","TRIC Maturing Suburbs",126,172876
"653","SRPEDD Maturing Suburbs","SRPEDD Developing Suburbs",140,272896
"654","SRPEDD Maturing Suburbs","SRPEDD Regional Urban Centers",63,116278
"655","SRPEDD Regional Urban Centers","CCC Maturing Suburbs",67,201577
"656","SRPEDD Regional Urban Centers","CMRPC Developing Suburbs",52,308392
"657","SRPEDD Regional Urban Centers","Fall River Sector 7",63,23223
"658","SRPEDD Regional Urban Centers","Fall River Sector 9",68,14922
"659","SRPEDD Regional Urban Centers","OCPC Developing Suburbs",128,184584
"660","SRPEDD Regional Urban Centers","SRPEDD Developing Suburbs",900,272896
"661","SRPEDD Regional Urban Centers","SRPEDD Maturing Suburbs",52,22414
"662","SRPEDD Regional Urban Centers","SSC Maturing Suburbs",54,198636
"663","SRPEDD Regional Urban Centers","TRIC Maturing Suburbs",73,172876
"664","SSC Developing Suburbs","OCPC Developing Suburbs",264,184584
"665","SSC Developing Suburbs","SSC Maturing Suburbs",353,198636
"666","SSC Maturing Suburbs","Boston Allston/Brighton",63,75954
"667","SSC Maturing Suburbs","Boston Downtown",93,45238
"668","SSC Maturing Suburbs","Boston Dorchester",167,132393
"669","SSC Maturing Suburbs","Boston South Boston",161,34837
"670","SSC Maturing Suburbs","CCC Maturing Suburbs",134,201577
"671","SSC Maturing Suburbs","ICC Inner Core",143,417536
"672","SSC Maturing Suburbs","OCPC Developing Suburbs",933,184584
"673","SSC Maturing Suburbs","Quincy Houghs Neck",67,13394
"674","SSC Maturing Suburbs","Quincy North Quincy",68,17172
"675","SSC Maturing Suburbs","Quincy Quincy Center",106,15681
"676","SSC Maturing Suburbs","Quincy South Quincy",186,27277
"677","SSC Maturing Suburbs","SRPEDD Developing Suburbs",214,272896
"678","SSC Maturing Suburbs","SSC Developing Suburbs",391,41968
"679","SSC Maturing Suburbs","TRIC Maturing Suburbs",239,172876
"680","SWAP Developing Suburbs","CCC Maturing Suburbs",69,201577
"681","SWAP Developing Suburbs","CMRPC Developing Suburbs",333,308392
"682","SWAP Developing Suburbs","Framingham All",62,66910
"683","SWAP Developing Suburbs","ICC Inner Core",75,417536
"684","SWAP Developing Suburbs","Metrowest Maturing Suburbs",112,106807
"685","SWAP Developing Suburbs","SRPEDD Developing Suburbs",134,272896
"686","SWAP Developing Suburbs","SWAP Regional Urban Centers",105,26799
"687","SWAP Developing Suburbs","TRIC Developing Suburbs",61,44628
"688","SWAP Developing Suburbs","TRIC Maturing Suburbs",113,172876
"689","SWAP Regional Urban Centers","CMRPC Developing Suburbs",210,308392
"690","SWAP Regional Urban Centers","SWAP Developing Suburbs",93,103784
"691","TRIC Developing Suburbs","SRPEDD Developing Suburbs",124,272896
"692","TRIC Developing Suburbs","SRPEDD Maturing Suburbs",55,22414
"693","TRIC Developing Suburbs","SWAP Developing Suburbs",116,103784
"694","TRIC Developing Suburbs","TRIC Maturing Suburbs",117,172876
"695","TRIC Developing Suburbs","TRIC Regional Urban Centers",79,28587
"696","TRIC Maturing Suburbs","Boston Allston/Brighton",62,75954
"697","TRIC Maturing Suburbs","Boston Downtown",61,45238
"698","TRIC Maturing Suburbs","Boston Dorchester",123,132393
"699","TRIC Maturing Suburbs","Boston Hyde Park",103,36604
"700","TRIC Maturing Suburbs","Boston Roslindale",60,28003
"701","TRIC Maturing Suburbs","Boston South Boston",64,34837
"702","TRIC Maturing Suburbs","Boston West Roxbury",89,28753
"703","TRIC Maturing Suburbs","Brockton Ward 1",72,20218
"704","TRIC Maturing Suburbs","Brockton Ward 6",73,15208
"705","TRIC Maturing Suburbs","CCC Maturing Suburbs",118,201577
"706","TRIC Maturing Suburbs","CMRPC Developing Suburbs",52,308392
"707","TRIC Maturing Suburbs","ICC Inner Core",237,417536
"708","TRIC Maturing Suburbs","ICC Maturing Suburbs",51,52140
"709","TRIC Maturing Suburbs","Metrowest Maturing Suburbs",106,106807
"710","TRIC Maturing Suburbs","OCPC Developing Suburbs",328,184584
"711","TRIC Maturing Suburbs","Quincy South Quincy",99,27277
"712","TRIC Maturing Suburbs","SRPEDD Developing Suburbs",227,272896
"713","TRIC Maturing Suburbs","SRPEDD Maturing Suburbs",63,22414
"714","TRIC Maturing Suburbs","SRPEDD Regional Urban Centers",87,116278
"715","TRIC Maturing Suburbs","SSC Maturing Suburbs",267,198636
"716","TRIC Maturing Suburbs","SWAP Developing Suburbs",174,103784
"717","TRIC Maturing Suburbs","TRIC Developing Suburbs",234,44628
"718","TRIC Maturing Suburbs","TRIC Regional Urban Centers",172,28587
"719","TRIC Regional Urban Centers","ICC Inner Core",54,417536
"720","TRIC Regional Urban Centers","SRPEDD Developing Suburbs",71,272896
"721","TRIC Regional Urban Centers","SWAP Developing Suburbs",76,103784
"722","TRIC Regional Urban Centers","TRIC Developing Suburbs",119,44628
"723","TRIC Regional Urban Centers","TRIC Maturing Suburbs",167,172876
"724","Worcester Burncoat","CMRPC Developing Suburbs",407,308392
"725","Worcester Burncoat","Worcester Doherty",274,59480
"726","Worcester Burncoat","Worcester North",214,37617
"727","Worcester Burncoat","Worcester South",133,37990
"728","Worcester Doherty","CMRPC Developing Suburbs",502,308392
"729","Worcester Doherty","Worcester Burncoat",269,37561
"730","Worcester Doherty","Worcester North",255,37617
"731","Worcester Doherty","Worcester South",278,37990
"732","Worcester North","CMRPC Developing Suburbs",484,308392
"733","Worcester North","Worcester Burncoat",241,37561
"734","Worcester North","Worcester Doherty",257,59480
"735","Worcester North","Worcester South",213,37990
"736","Worcester South","CMRPC Developing Suburbs",329,308392
"737","Worcester South","Worcester Burncoat",175,37561
"738","Worcester South","Worcester Doherty",318,59480
"739","Worcester South","Worcester North",228,37617
"740","Boston Allston/Brighton","Other",969,NA
"741","Boston Downtown","Other",949,NA
"742","Boston Charlestown","Other",628,NA
"743","Boston Dorchester","Other",1021,NA
"744","Boston East Boston","Other",754,NA
"745","Boston Fenway","Other",591,NA
"746","Boston Hyde Park","Other",554,NA
"747","Boston Jamaica Plain","Other",673,NA
"748","Boston Mattapan","Other",431,NA
"749","Boston Roslindale","Other",529,NA
"750","Boston Roxbury","Other",612,NA
"751","Boston South Boston","Other",1074,NA
"752","Boston South End","Other",833,NA
"753","Boston West Roxbury","Other",612,NA
"754","Brockton Ward 1","Other",481,NA
"755","Brockton Ward 2","Other",317,NA
"756","Brockton Ward 4","Other",396,NA
"757","Brockton Ward 5","Other",440,NA
"758","Brockton Ward 6","Other",406,NA
"759","Brockton Ward 7","Other",415,NA
"760","BRPC Developing Suburbs","Other",140,NA
"761","BRPC Regional Urban Centers","Other",163,NA
"762","BRPC Rural Towns","Other",64,NA
"763","Cambridge All","Other",936,NA
"764","CCC Developing Suburbs","Other",174,NA
"765","CCC Maturing Suburbs","Other",938,NA
"766","CCC Rural Towns","Other",87,NA
"767","Chelsea Ward 3","Other",311,NA
"768","Chelsea Ward 4","Other",327,NA
"769","CMRPC Developing Suburbs","Other",736,NA
"770","CMRPC Regional Urban Centers","Other",249,NA
"771","Everett All","Other",628,NA
"772","Fall River Sector 1","Other",172,NA
"773","Fall River Sector 2","Other",213,NA
"774","Fall River Sector 5","Other",153,NA
"775","Fall River Sector 7","Other",103,NA
"776","Fall River Sector 8","Other",159,NA
"777","Fall River Sector 9","Other",200,NA
"778","Framingham All","Other",659,NA
"779","FRCOG Developing Suburbs","Other",193,NA
"780","FRCOG Rural Towns","Other",134,NA
"781","ICC Inner Core","Other",944,NA
"782","ICC Maturing Suburbs","Other",786,NA
"783","Lawrence Ward A","Other",122,NA
"784","Lawrence Ward C","Other",110,NA
"785","Lawrence Ward D","Other",119,NA
"786","Lawrence Ward E","Other",176,NA
"787","Lawrence Ward F","Other",148,NA
"788","Lowell Acre","Other",217,NA
"789","Lowell Centralville","Other",288,NA
"790","Lowell Highlands","Other",210,NA
"791","Lowell Lower Belvidere","Other",328,NA
"792","Lowell Lower Highlands","Other",210,NA
"793","Lowell Pawtucketville","Other",253,NA
"794","Lynn Ward 1","Other",284,NA
"795","Lynn Ward 3","Other",212,NA
"796","Lynn Ward 4","Other",280,NA
"797","Lynn Ward 5","Other",226,NA
"798","Lynn Ward 7","Other",268,NA
"799","MAGIC Developing Suburbs","Other",432,NA
"800","MAGIC Maturing Suburbs","Other",788,NA
"801","Metrowest Developing Suburbs","Other",222,NA
"802","Metrowest Maturing Suburbs","Other",865,NA
"803","Metrowest Regional Urban Centers","Other",437,NA
"804","MRPC Developing Suburbs","Other",515,NA
"805","MRPC Regional Urban Centers","Other",622,NA
"806","MRPC Rural Towns","Other",128,NA
"807","MVPC Developing Suburbs","Other",776,NA
"808","MVPC Regional Urban Centers","Other",608,NA
"809","New Bedford Neighborhood 1","Other",214,NA
"810","New Bedford Neighborhood 2","Other",99,NA
"811","New Bedford Neighborhood 3","Other",86,NA
"812","New Bedford Neighborhood 4","Other",84,NA
"813","New Bedford Neighborhood 5","Other",123,NA
"814","Newton Ward 2","Other",606,NA
"815","Newton Ward 3","Other",321,NA
"816","Newton Ward 5","Other",447,NA
"817","NMCOG Developing Suburbs","Other",538,NA
"818","NMCOG Maturing Suburbs","Other",599,NA
"819","NSPC Maturing Suburbs","Other",946,NA
"820","NSPC Regional Urban Centers","Other",512,NA
"821","NSTF Developing Suburbs","Other",342,NA
"822","NSTF Maturing Suburbs","Other",514,NA
"823","NSTF Regional Urban Centers","Other",813,NA
"824","OCPC Developing Suburbs","Other",1002,NA
"825","PVPC Developing Suburbs","Other",549,NA
"826","PVPC Maturing Suburbs","Other",166,NA
"827","PVPC Regional Urban Centers","Other",563,NA
"828","PVPC Rural Towns","Other",184,NA
"829","Quincy Houghs Neck","Other",402,NA
"830","Quincy North Quincy","Other",442,NA
"831","Quincy Quincy Center","Other",582,NA
"832","Quincy South Quincy","Other",602,NA
"833","Quincy Wollaston","Other",410,NA
"834","Somerville 2143","Other",516,NA
"835","Somerville 2144","Other",709,NA
"836","Somerville 2145","Other",551,NA
"837","Springfield East Forest Park","Other",183,NA
"838","Springfield Forest Park","Other",215,NA
"839","Springfield Indian Orchard","Other",218,NA
"840","Springfield Liberty Heights","Other",149,NA
"841","Springfield McKnight","Other",121,NA
"842","Springfield Pine Point","Other",139,NA
"843","Springfield Sixteen Acres","Other",290,NA
"844","Springfield South End","Other",164,NA
"845","SRPEDD Developing Suburbs","Other",766,NA
"846","SRPEDD Maturing Suburbs","Other",386,NA
"847","SRPEDD Regional Urban Centers","Other",619,NA
"848","SSC Developing Suburbs","Other",391,NA
"849","SSC Maturing Suburbs","Other",1139,NA
"850","SWAP Developing Suburbs","Other",622,NA
"851","SWAP Regional Urban Centers","Other",302,NA
"852","TRIC Developing Suburbs","Other",515,NA
"853","TRIC Maturing Suburbs","Other",1063,NA
"854","TRIC Regional Urban Centers","Other",439,NA
"855","Worcester Burncoat","Other",317,NA
"856","Worcester Doherty","Other",421,NA
"857","Worcester North","Other",285,NA
"858","Worcester South","Other",189,NA
