"","origin","destination","flows","population"
"117","Boston South End","ICC Inner Core",151,417536
"118","Boston South End","SSC Maturing Suburbs",65,198636
"119","Boston South End","TRIC Maturing Suburbs",56,172876
"120","Boston West Roxbury","Boston Hyde Park",76,36604
"121","Boston West Roxbury","Boston Roslindale",78,28003
"122","Boston West Roxbury","ICC Inner Core",89,417536
"123","Boston West Roxbury","TRIC Maturing Suburbs",169,172876
"124","Brockton Ward 1","Brockton Ward 4",52,20792
"125","Brockton Ward 1","OCPC Developing Suburbs",89,184584
"126","Brockton Ward 1","TRIC Maturing Suburbs",59,172876
"127","Brockton Ward 2","Brockton Ward 1",82,20218
"128","Brockton Ward 2","Brockton Ward 4",99,20792
"129","Brockton Ward 2","Brockton Ward 5",52,13089
"130","Brockton Ward 2","Brockton Ward 7",81,16616
"131","Brockton Ward 4","Brockton Ward 1",79,20218
"132","Brockton Ward 4","Brockton Ward 2",91,12824
"133","Brockton Ward 4","Brockton Ward 5",83,13089
"134","Brockton Ward 4","Brockton Ward 7",70,16616
"135","Brockton Ward 4","OCPC Developing Suburbs",98,184584
"136","Brockton Ward 5","Brockton Ward 4",60,20792
"137","Brockton Ward 5","OCPC Developing Suburbs",72,184584
"138","Brockton Ward 6","OCPC Developing Suburbs",75,184584
"139","Brockton Ward 7","Brockton Ward 1",59,20218
"140","Brockton Ward 7","Brockton Ward 2",75,12824
"141","Brockton Ward 7","Brockton Ward 4",62,20792
"142","BRPC Developing Suburbs","BRPC Regional Urban Centers",315,63046
"143","BRPC Developing Suburbs","BRPC Rural Towns",170,25792
"144","BRPC Regional Urban Centers","BRPC Developing Suburbs",291,46115
"145","BRPC Regional Urban Centers","BRPC Rural Towns",154,25792
"146","BRPC Rural Towns","BRPC Developing Suburbs",212,46115
"147","BRPC Rural Towns","BRPC Regional Urban Centers",146,63046
"148","Cambridge All","Boston Allston/Brighton",190,75954
"149","Cambridge All","Boston Downtown",222,45238
"150","Cambridge All","Boston Charlestown",57,15195
"151","Cambridge All","Boston Dorchester",82,132393
"152","Cambridge All","Boston Fenway",85,43708
"153","Cambridge All","Boston Jamaica Plain",89,33881
"154","Cambridge All","Boston South Boston",68,34837
"155","Cambridge All","Boston South End",85,25242
"156","Cambridge All","ICC Inner Core",1045,417536
"157","Cambridge All","MAGIC Maturing Suburbs",140,115604
"158","Cambridge All","Metrowest Maturing Suburbs",81,106807
"159","Cambridge All","NSPC Maturing Suburbs",101,161159
"160","Cambridge All","Somerville 2143",270,20785
"161","Cambridge All","Somerville 2144",293,29483
"162","Cambridge All","Somerville 2145",108,27210
"163","Cambridge All","SSC Maturing Suburbs",53,198636
"164","Cambridge All","TRIC Maturing Suburbs",73,172876
"165","CCC Developing Suburbs","CCC Maturing Suburbs",213,201577
"166","CCC Maturing Suburbs","CCC Developing Suburbs",180,21906
"167","CCC Maturing Suburbs","ICC Inner Core",98,417536
"168","CCC Maturing Suburbs","OCPC Developing Suburbs",247,184584
"169","CCC Maturing Suburbs","SRPEDD Developing Suburbs",243,272896
"170","CCC Maturing Suburbs","SSC Maturing Suburbs",103,198636
"171","CCC Rural Towns","CCC Maturing Suburbs",53,201577
"172","Chelsea Ward 3","Chelsea Ward 4",144,17283
"173","Chelsea Ward 3","ICC Inner Core",118,417536
"174","Chelsea Ward 4","Chelsea Ward 3",142,17797
"175","Chelsea Ward 4","ICC Inner Core",143,417536
"176","CMRPC Developing Suburbs","CCC Maturing Suburbs",127,201577
"177","CMRPC Developing Suburbs","CMRPC Regional Urban Centers",393,30538
"178","CMRPC Developing Suburbs","Framingham All",120,66910
"179","CMRPC Developing Suburbs","ICC Inner Core",142,417536
"180","CMRPC Developing Suburbs","MAGIC Developing Suburbs",79,45932
