"","X","origin","destination","flows","upper","lower","prob.from.origin","prob.from.destination"
"58",58,"Boston_Allston/Brighton","Lynn_Ward 5",NA,NA,NA,-76.1160678472989,-59.9544136876214
"59",59,"Boston_Allston/Brighton","Lynn_Ward 7",NA,NA,NA,-49.6140127755737,-5.47542930989862
"60",60,"Boston_Allston/Brighton","MAGIC_Developing Suburbs",NA,NA,NA,-62.1798753294564,-2.80560537981877
"61",61,"Boston_Allston/Brighton","MAGIC_Maturing Suburbs",69,88,53,-33.7959118588571,91.4335395302534
"62",62,"Boston_Allston/Brighton","Metrowest_Developing Suburbs",NA,NA,NA,-8.98795061380192,155.803467860973
"63",63,"Boston_Allston/Brighton","Metrowest_Maturing Suburbs",129,154,106,36.4485434575674,235.781215215963
"64",64,"Boston_Allston/Brighton","Metrowest_Regional Urban Centers",NA,NA,NA,-55.1375474674529,-3.51921518989282
"65",65,"Boston_Allston/Brighton","MRPC_Developing Suburbs",NA,NA,NA,-80.4451203880677,-41.3955514016508
"66",66,"Boston_Allston/Brighton","MRPC_Regional Urban Centers",NA,NA,NA,-81.6625367538206,-37.0148913188611
"67",67,"Boston_Allston/Brighton","MRPC_Rural Towns",NA,NA,NA,-93.9841883870097,-85.1111666232477
"68",68,"Boston_Allston/Brighton","MVC_Developing Suburbs",NA,NA,NA,-56.662567521453,204.70641687008
"69",69,"Boston_Allston/Brighton","MVPC_Developing Suburbs",NA,NA,NA,-56.8221138116353,19.1173420134177
"70",70,"Boston_Allston/Brighton","MVPC_Regional Urban Centers",NA,NA,NA,-78.870444107064,-33.6356829176832
"71",71,"Boston_Allston/Brighton","New Bedford_Neighborhood 1",0,0,0,-99.9999235342574,-99.9999464285446
"72",72,"Boston_Allston/Brighton","New Bedford_Neighborhood 2",NA,NA,NA,-92.6038043756433,-86.3949262213067
"73",73,"Boston_Allston/Brighton","New Bedford_Neighborhood 3",0,0,0,-99.9999120710334,-99.9999384227136
"74",74,"Boston_Allston/Brighton","New Bedford_Neighborhood 4",0,0,0,-99.9999057949947,-99.9999385953495
"75",75,"Boston_Allston/Brighton","New Bedford_Neighborhood 5",NA,NA,NA,-93.2729430379747,-84.524522619287
"76",76,"Boston_Allston/Brighton","Newton_Ward 2",147,173,122,524.715789621238,930.395941455193
"77",77,"Boston_Allston/Brighton","Newton_Ward 3",NA,NA,NA,275.127408144211,586.767123460905
"78",78,"Boston_Allston/Brighton","Newton_Ward 5",77,97,58,334.797056015395,627.96626356059
"79",79,"Boston_Allston/Brighton","Newton_Ward 7",NA,NA,NA,318.223825965057,792.184066597465
"80",80,"Boston_Allston/Brighton","Newton_Ward 8",NA,NA,NA,236.561857905572,602.438140620059
"81",81,"Boston_Allston/Brighton","NMCOG_Developing Suburbs",NA,NA,NA,-83.6311005561748,-49.1750910332361
"82",82,"Boston_Allston/Brighton","NMCOG_Maturing Suburbs",NA,NA,NA,-78.2800985218653,-34.8019563525262
