"","X","origin","destination","flows","upper","lower","prob.from.origin","prob.from.destination"
"3023",3023,"CCC_Developing Suburbs","Quincy_Quincy Center",0,0,0,-99.9998766313929,-99.9999004306898
"3024",3024,"CCC_Developing Suburbs","Quincy_South Quincy",NA,NA,NA,56.4845993204421,-45.3353743681447
"3025",3025,"CCC_Developing Suburbs","Quincy_Wollaston",NA,NA,NA,-21.8776657839017,-63.3001716061982
"3026",3026,"CCC_Developing Suburbs","Somerville_2143",0,0,0,-99.9999101153747,-99.999919274127
"3027",3027,"CCC_Developing Suburbs","Somerville_2144",NA,NA,NA,-60.5409871788478,-87.0586548409016
"3028",3028,"CCC_Developing Suburbs","Somerville_2145",0,0,0,-99.9999184383226,-99.9999068880705
"3029",3029,"CCC_Developing Suburbs","Springfield_East Forest Park",0,0,0,-99.9998115933471,-99.9997215676895
"3030",3030,"CCC_Developing Suburbs","Springfield_Forest Park",0,0,0,-99.9999043950652,-99.9996446690554
"3031",3031,"CCC_Developing Suburbs","Springfield_Indian Orchard",0,0,0,-99.9998102658184,-99.999772673508
"3032",3032,"CCC_Developing Suburbs","Springfield_Liberty Heights",0,0,0,-99.9998696349599,-99.9995539558924
"3033",3033,"CCC_Developing Suburbs","Springfield_McKnight",0,0,0,-99.9999095428909,-99.9996266416347
"3034",3034,"CCC_Developing Suburbs","Springfield_Pine Point",0,0,0,-99.999880264911,-99.9998216610206
"3035",3035,"CCC_Developing Suburbs","Springfield_Sixteen Acres",0,0,0,-99.9999024649121,-99.9998344509348
"3036",3036,"CCC_Developing Suburbs","Springfield_South End",0,0,0,-99.9998654677056,-99.9998352209065
"3037",3037,"CCC_Developing Suburbs","SRPEDD_Developing Suburbs",NA,NA,NA,-19.0541711332337,-26.2869452100432
"3038",3038,"CCC_Developing Suburbs","SRPEDD_Maturing Suburbs",0,0,0,-99.9999135824496,-99.9999439686022
"3039",3039,"CCC_Developing Suburbs","SRPEDD_Regional Urban Centers",NA,NA,NA,-47.2899482061628,-56.5859978785223
"3040",3040,"CCC_Developing Suburbs","SSC_Developing Suburbs",NA,NA,NA,-14.6509089323872,-47.7884126103958
"3041",3041,"CCC_Developing Suburbs","SSC_Maturing Suburbs",NA,NA,NA,47.9079163431121,3.08201779408674
"3042",3042,"CCC_Developing Suburbs","SWAP_Developing Suburbs",NA,NA,NA,-65.6026321944945,-72.0137267940182
"3043",3043,"CCC_Developing Suburbs","SWAP_Regional Urban Centers",0,0,0,-99.9999236956539,-99.999856079279
"3044",3044,"CCC_Developing Suburbs","TRIC_Developing Suburbs",NA,NA,NA,-73.6287414299365,-82.8455703418675
"3045",3045,"CCC_Developing Suburbs","TRIC_Maturing Suburbs",NA,NA,NA,-45.164951792331,-64.3250246783352
"3046",3046,"CCC_Developing Suburbs","TRIC_Regional Urban Centers",0,0,0,-99.999927488325,-99.9998984895358
"3047",3047,"CCC_Developing Suburbs","Worcester_Burncoat",0,0,0,-99.9999456797734,-99.999809123014
"3048",3048,"CCC_Developing Suburbs","Worcester_Doherty",0,0,0,-99.9999617008407,-99.9998436328352
"3049",3049,"CCC_Developing Suburbs","Worcester_North",NA,NA,NA,-65.4184710372974,-84.8158004373174
"3050",3050,"CCC_Developing Suburbs","Worcester_South",0,0,0,-99.999934376821,-99.9997604882074
"3051",3051,"CCC_Maturing Suburbs","Boston_Allston/Brighton",NA,NA,NA,7.81925635896086,-75.3275420678044
"3052",3052,"CCC_Maturing Suburbs","Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",NA,NA,NA,92.0990615706666,-64.1105087533617
"3053",3053,"CCC_Maturing Suburbs","Boston_Charlestown",NA,NA,NA,67.7422475989092,-68.1574449538972
"3054",3054,"CCC_Maturing Suburbs","Boston_Dorchester",NA,NA,NA,-47.365162758717,-82.250163227828
"3055",3055,"CCC_Maturing Suburbs","Boston_East Boston",NA,NA,NA,-77.3723139510823,-93.3119443933548
"3056",3056,"CCC_Maturing Suburbs","Boston_Fenway",NA,NA,NA,5.53529155844967,-75.9933552830306
"3057",3057,"CCC_Maturing Suburbs","Boston_Hyde Park",NA,NA,NA,-79.205375277307,-94.3002332223662
"3058",3058,"CCC_Maturing Suburbs","Boston_Jamaica Plain",NA,NA,NA,-34.6343304504459,-85.5631041309837
"3059",3059,"CCC_Maturing Suburbs","Boston_Mattapan",NA,NA,NA,-88.5274280949444,-96.9985981264644
"3060",3060,"CCC_Maturing Suburbs","Boston_Roslindale",NA,NA,NA,-38.3077042242876,-85.6194117472976
"3061",3061,"CCC_Maturing Suburbs","Boston_Roxbury",NA,NA,NA,-34.8139584813588,-84.1968869655485
"3062",3062,"CCC_Maturing Suburbs","Boston_South Boston",NA,NA,NA,104.428539834062,-62.2128535354625
"3063",3063,"CCC_Maturing Suburbs","Boston_South End",NA,NA,NA,10.3769035752147,-79.2785151396535
"3064",3064,"CCC_Maturing Suburbs","Boston_West Roxbury",NA,NA,NA,-4.17886549556038,-76.5737391378956
"3065",3065,"CCC_Maturing Suburbs","Brockton_Ward 1",NA,NA,NA,-11.7812299342264,-77.1524401454361
"3066",3066,"CCC_Maturing Suburbs","Brockton_Ward 2",NA,NA,NA,73.5591262453891,-66.0849522843957
"3067",3067,"CCC_Maturing Suburbs","Brockton_Ward 4",NA,NA,NA,-9.40468228561471,-76.2884516265554
"3068",3068,"CCC_Maturing Suburbs","Brockton_Ward 5",0,0,0,-99.9999220998138,-99.9999817231152
"3069",3069,"CCC_Maturing Suburbs","Brockton_Ward 6",NA,NA,NA,-84.0733652933809,-95.5652676176636
"3070",3070,"CCC_Maturing Suburbs","Brockton_Ward 7",NA,NA,NA,-81.0441096010957,-96.0057974302096
"3071",3071,"CCC_Maturing Suburbs","BRPC_Developing Suburbs",NA,NA,NA,-41.7735697297566,-68.3818075272882
"3072",3072,"CCC_Maturing Suburbs","BRPC_Regional Urban Centers",NA,NA,NA,-51.4307876419695,-60.5301680681167
"3073",3073,"CCC_Maturing Suburbs","BRPC_Rural Towns",NA,NA,NA,-89.759504619082,-94.439629731717
"3074",3074,"CCC_Maturing Suburbs","Cambridge_All",NA,NA,NA,-25.1967635811602,-77.9163771338943
"3075",3075,"CCC_Maturing Suburbs","CCC_Developing Suburbs",240,276,197,2714.05116048725,2579.39413516617
"3076",3076,"CCC_Maturing Suburbs","CCC_Maturing Suburbs",120359,121123,119612,NA,NA
"3077",3077,"CCC_Maturing Suburbs","CCC_Rural Towns",NA,NA,NA,789.409857184406,700.745218384913
"3078",3078,"CCC_Maturing Suburbs","Chelsea_Ward 3",NA,NA,NA,-45.6167801539055,-87.6351440166998
"3079",3079,"CCC_Maturing Suburbs","Chelsea_Ward 4",0,0,0,-99.9999123215912,-99.999981414598
"3080",3080,"CCC_Maturing Suburbs","CMRPC_Developing Suburbs",NA,NA,NA,-61.8455898004548,-79.3462630998103
"3081",3081,"CCC_Maturing Suburbs","CMRPC_Regional Urban Centers",NA,NA,NA,-56.8872243047131,-83.7049899221776
"3082",3082,"CCC_Maturing Suburbs","Everett_All",NA,NA,NA,-78.6834451300919,-94.2248570625111
"3083",3083,"CCC_Maturing Suburbs","Fall River_Sector 1",NA,NA,NA,-33.0187172846565,-80.4531983153115
"3084",3084,"CCC_Maturing Suburbs","Fall River_Sector 2",NA,NA,NA,-33.5336794535925,-80.1157916139388
"3085",3085,"CCC_Maturing Suburbs","Fall River_Sector 5",NA,NA,NA,163.697823009295,-40.0145000893704
"3086",3086,"CCC_Maturing Suburbs","Fall River_Sector 7",NA,NA,NA,17.624340157514,-69.5813975554975
"3087",3087,"CCC_Maturing Suburbs","Fall River_Sector 8",NA,NA,NA,-79.1131758457674,-94.9842888756397
"3088",3088,"CCC_Maturing Suburbs","Fall River_Sector 9",NA,NA,NA,-49.5172374784893,-87.4098434353897
"3089",3089,"CCC_Maturing Suburbs","Framingham_All",NA,NA,NA,-36.8395354712847,-77.3377007671527
"3090",3090,"CCC_Maturing Suburbs","FRCOG_Developing Suburbs",NA,NA,NA,-9.13032864994006,-53.9777417693528
"3091",3091,"CCC_Maturing Suburbs","FRCOG_Rural Towns",NA,NA,NA,-68.2301175258895,-84.6107619318597
"3092",3092,"CCC_Maturing Suburbs","ICC_Inner Core",131,157,103,-24.0450509186325,-75.8981053506658
"3093",3093,"CCC_Maturing Suburbs","ICC_Maturing Suburbs",NA,NA,NA,-23.4941812320723,-76.3862154102547
"3094",3094,"CCC_Maturing Suburbs","Lawrence_Ward A",NA,NA,NA,-82.4899805283004,-95.6164715070343
"3095",3095,"CCC_Maturing Suburbs","Lawrence_Ward C",NA,NA,NA,-76.3857087532475,-94.0100253483953
"3096",3096,"CCC_Maturing Suburbs","Lawrence_Ward D",NA,NA,NA,-51.4159434607707,-87.2115270397979
"3097",3097,"CCC_Maturing Suburbs","Lawrence_Ward E",0,0,0,-99.9999073320375,-99.9999790381637
"3098",3098,"CCC_Maturing Suburbs","Lawrence_Ward F",0,0,0,-99.9998824616208,-99.9999726362812
"3099",3099,"CCC_Maturing Suburbs","Lowell_Acre",NA,NA,NA,-65.0904893651817,-92.6929586222062
"3100",3100,"CCC_Maturing Suburbs","Lowell_Centralville",NA,NA,NA,-82.2553417536118,-95.577171611247
"3101",3101,"CCC_Maturing Suburbs","Lowell_Highlands",NA,NA,NA,-85.5020002035598,-96.2932526773244
"3102",3102,"CCC_Maturing Suburbs","Lowell_Lower Belvidere",NA,NA,NA,-91.9883822677652,-97.9117227826617
"3103",3103,"CCC_Maturing Suburbs","Lowell_Lower Highlands",0,0,0,-99.9998862458646,-99.9999712951649
"3104",3104,"CCC_Maturing Suburbs","Lowell_Pawtucketville",NA,NA,NA,-47.6317959991629,-86.218000894245
"3105",3105,"CCC_Maturing Suburbs","Lynn_Ward 1",0,0,0,-99.9999247481507,-99.9999792742898
"3106",3106,"CCC_Maturing Suburbs","Lynn_Ward 3",NA,NA,NA,-48.7085921451642,-87.0150999787357
"3107",3107,"CCC_Maturing Suburbs","Lynn_Ward 4",NA,NA,NA,-44.7026388498966,-88.8029422831266
"3108",3108,"CCC_Maturing Suburbs","Lynn_Ward 5",NA,NA,NA,-28.4906926165342,-82.5942201655136
"3109",3109,"CCC_Maturing Suburbs","Lynn_Ward 7",0,0,0,-99.9999267938808,-99.9999802496423
"3110",3110,"CCC_Maturing Suburbs","MAGIC_Developing Suburbs",NA,NA,NA,-45.034413449872,-79.6085846738458
"3111",3111,"CCC_Maturing Suburbs","MAGIC_Maturing Suburbs",NA,NA,NA,-13.5875222041727,-64.2116476287846
"3112",3112,"CCC_Maturing Suburbs","Metrowest_Developing Suburbs",NA,NA,NA,87.5788593586615,-23.8511506022736
"3113",3113,"CCC_Maturing Suburbs","Metrowest_Maturing Suburbs",NA,NA,NA,-8.17526544522547,-67.8082155793092
"3114",3114,"CCC_Maturing Suburbs","Metrowest_Regional Urban Centers",NA,NA,NA,-66.4818760402461,-89.6061613395147
"3115",3115,"CCC_Maturing Suburbs","MRPC_Developing Suburbs",NA,NA,NA,-37.2022690653157,-72.8261772598639
"3116",3116,"CCC_Maturing Suburbs","MRPC_Regional Urban Centers",NA,NA,NA,-80.6456619262219,-90.3907586888851
"3117",3117,"CCC_Maturing Suburbs","MRPC_Rural Towns",NA,NA,NA,-59.4768528330626,-85.413148642894
"3118",3118,"CCC_Maturing Suburbs","MVC_Developing Suburbs",NA,NA,NA,193.804654977205,218.912010089544
"3119",3119,"CCC_Maturing Suburbs","MVPC_Developing Suburbs",NA,NA,NA,-55.9788733183884,-82.5088758234677
"3120",3120,"CCC_Maturing Suburbs","MVPC_Regional Urban Centers",NA,NA,NA,-73.6468849479208,-88.0439828317065
"3121",3121,"CCC_Maturing Suburbs","New Bedford_Neighborhood 1",NA,NA,NA,-44.3167443083258,-84.5562174431044
"3122",3122,"CCC_Maturing Suburbs","New Bedford_Neighborhood 2",NA,NA,NA,150.358031689169,-32.1518884219378
"3123",3123,"CCC_Maturing Suburbs","New Bedford_Neighborhood 3",NA,NA,NA,108.882932136393,-41.4717889776367
"3124",3124,"CCC_Maturing Suburbs","New Bedford_Neighborhood 4",NA,NA,NA,89.2056154373109,-50.7668755687288
"3125",3125,"CCC_Maturing Suburbs","New Bedford_Neighborhood 5",NA,NA,NA,36.2829117918241,-54.0384883494768
"3126",3126,"CCC_Maturing Suburbs","Newton_Ward 2",NA,NA,NA,2.53139600884011,-77.2865328445399
"3127",3127,"CCC_Maturing Suburbs","Newton_Ward 3",NA,NA,NA,-28.880576555453,-82.2029561648843
"3128",3128,"CCC_Maturing Suburbs","Newton_Ward 5",NA,NA,NA,-49.9606647678676,-88.5588794452566
"3129",3129,"CCC_Maturing Suburbs","Newton_Ward 7",0,0,0,-99.9998486631114,-99.9999842214768
"3130",3130,"CCC_Maturing Suburbs","Newton_Ward 8",NA,NA,NA,-2.97544977780289,-72.353274230345
"3131",3131,"CCC_Maturing Suburbs","NMCOG_Developing Suburbs",NA,NA,NA,-84.7070095615918,-93.1310104923899
"3132",3132,"CCC_Maturing Suburbs","NMCOG_Maturing Suburbs",NA,NA,NA,-74.4700906502286,-88.9256124338341
"3133",3133,"CCC_Maturing Suburbs","NSPC_Maturing Suburbs",NA,NA,NA,-70.748989679672,-88.8661504572499
"3134",3134,"CCC_Maturing Suburbs","NSPC_Regional Urban Centers",NA,NA,NA,-74.2849163386297,-92.4284021246075
"3135",3135,"CCC_Maturing Suburbs","NSTF_Developing Suburbs",NA,NA,NA,-67.2311800749224,-87.5855551563575
"3136",3136,"CCC_Maturing Suburbs","NSTF_Maturing Suburbs",NA,NA,NA,-80.3115113319432,-92.775045875929
"3137",3137,"CCC_Maturing Suburbs","NSTF_Regional Urban Centers",NA,NA,NA,-75.2133312392546,-88.5831015089856
"3138",3138,"CCC_Maturing Suburbs","OCPC_Developing Suburbs",329,360,287,388.137880323476,81.0386296339315
"3139",3139,"CCC_Maturing Suburbs","PVPC_Developing Suburbs",NA,NA,NA,-67.560972319268,-81.87920321103
"3140",3140,"CCC_Maturing Suburbs","PVPC_Maturing Suburbs",NA,NA,NA,-82.8195392020976,-90.5033481996043
"3141",3141,"CCC_Maturing Suburbs","PVPC_Regional Urban Centers",NA,NA,NA,-57.034292497165,-73.6527240552559
"3142",3142,"CCC_Maturing Suburbs","PVPC_Rural Towns",NA,NA,NA,-28.9758383812326,-69.0043047392622
"3143",3143,"CCC_Maturing Suburbs","Quincy_Houghs Neck",NA,NA,NA,95.9071454631735,-50.9641287833665
"3144",3144,"CCC_Maturing Suburbs","Quincy_North Quincy",NA,NA,NA,13.1872785950432,-74.0062511135929
"3145",3145,"CCC_Maturing Suburbs","Quincy_Quincy Center",NA,NA,NA,69.5977015049266,-72.4325451840708
"3146",3146,"CCC_Maturing Suburbs","Quincy_South Quincy",NA,NA,NA,38.0766887468459,-73.5185804167343
"3147",3147,"CCC_Maturing Suburbs","Quincy_Wollaston",NA,NA,NA,46.3520215158696,-62.1802255384649
"3148",3148,"CCC_Maturing Suburbs","Somerville_2143",NA,NA,NA,-21.4998276473079,-85.8412043384855
"3149",3149,"CCC_Maturing Suburbs","Somerville_2144",NA,NA,NA,6.94558376683954,-80.8400496973966
"3150",3150,"CCC_Maturing Suburbs","Somerville_2145",NA,NA,NA,22.3640035271693,-71.8722803936021
"3151",3151,"CCC_Maturing Suburbs","Springfield_East Forest Park",NA,NA,NA,-76.5509411244569,-93.0400711130772
"3152",3152,"CCC_Maturing Suburbs","Springfield_Forest Park",NA,NA,NA,-88.1016126929614,-96.7366591184352
"3153",3153,"CCC_Maturing Suburbs","Springfield_Indian Orchard",0,0,0,-99.9998928357315,-99.9999742621508
"3154",3154,"CCC_Maturing Suburbs","Springfield_Liberty Heights",0,0,0,-99.999926369864,-99.9999814221396
"3155",3155,"CCC_Maturing Suburbs","Springfield_McKnight",NA,NA,NA,-88.7423426720723,-96.5709223674159
"3156",3156,"CCC_Maturing Suburbs","Springfield_Pine Point",0,0,0,-99.9999323740975,-99.9999798091025
"3157",3157,"CCC_Maturing Suburbs","Springfield_Sixteen Acres",NA,NA,NA,-63.5538887611401,-87.5630211040896
"3158",3158,"CCC_Maturing Suburbs","Springfield_South End",0,0,0,-99.9999240160274,-99.9999813441543
"3159",3159,"CCC_Maturing Suburbs","SRPEDD_Developing Suburbs",324,358,283,202.120848802012,41.3458959685348
"3160",3160,"CCC_Maturing Suburbs","SRPEDD_Maturing Suburbs",NA,NA,NA,84.0542035255237,-33.9918027819685
"3161",3161,"CCC_Maturing Suburbs","SRPEDD_Regional Urban Centers",NA,NA,NA,-11.8117125357178,-60.2278574484126
"3162",3162,"CCC_Maturing Suburbs","SSC_Developing Suburbs",NA,NA,NA,90.5634329413437,-35.7094744635782
"3163",3163,"CCC_Maturing Suburbs","SSC_Maturing Suburbs",137,162,111,69.7421642358447,-34.9204999091956
"3164",3164,"CCC_Maturing Suburbs","SWAP_Developing Suburbs",NA,NA,NA,-25.6527464690101,-66.9378925103849
"3165",3165,"CCC_Maturing Suburbs","SWAP_Regional Urban Centers",NA,NA,NA,14.4756970141179,-56.2971335559297
"3166",3166,"CCC_Maturing Suburbs","TRIC_Developing Suburbs",NA,NA,NA,10.2736836681936,-60.6698633705943
"3167",3167,"CCC_Maturing Suburbs","TRIC_Maturing Suburbs",NA,NA,NA,-9.36824258091028,-67.9089248012198
"3168",3168,"CCC_Maturing Suburbs","TRIC_Regional Urban Centers",NA,NA,NA,81.9147561454996,-48.4921955867671
"3169",3169,"CCC_Maturing Suburbs","Worcester_Burncoat",NA,NA,NA,-52.5630752550066,-87.6923191169978
"3170",3170,"CCC_Maturing Suburbs","Worcester_Doherty",NA,NA,NA,-56.9653776131376,-87.0347285337143
"3171",3171,"CCC_Maturing Suburbs","Worcester_North",NA,NA,NA,-42.4435040536021,-86.1921187838687
"3172",3172,"CCC_Maturing Suburbs","Worcester_South",NA,NA,NA,-91.8333260792711,-97.8012251440334
"3173",3173,"CCC_Rural Towns","Boston_Allston/Brighton",NA,NA,NA,55.859567920768,-50.052888864744
"3174",3174,"CCC_Rural Towns","Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",NA,NA,NA,213.848885658134,-18.6005433033836
"3175",3175,"CCC_Rural Towns","Boston_Charlestown",0,0,0,-99.9998811833396,-99.9997650593457
"3176",3176,"CCC_Rural Towns","Boston_Dorchester",NA,NA,NA,-7.84655434708617,-56.4755563998714
"3177",3177,"CCC_Rural Towns","Boston_East Boston",0,0,0,-99.9999356432308,-99.9998009295133
"3178",3178,"CCC_Rural Towns","Boston_Fenway",NA,NA,NA,33.532517650053,-57.294316816212
"3179",3179,"CCC_Rural Towns","Boston_Hyde Park",0,0,0,-99.9999408558699,-99.9995386721967
"3180",3180,"CCC_Rural Towns","Boston_Jamaica Plain",NA,NA,NA,311.634052032728,26.1455898786428
"3181",3181,"CCC_Rural Towns","Boston_Mattapan",0,0,0,-99.9999020349078,-99.9997316699466
"3182",3182,"CCC_Rural Towns","Boston_Roslindale",0,0,0,-99.9999249283371,-99.9995026463244
"3183",3183,"CCC_Rural Towns","Boston_Roxbury",0,0,0,-99.9999306203167,-99.9998241505659
"3184",3184,"CCC_Rural Towns","Boston_South Boston",NA,NA,NA,-11.8569281760431,-77.0063123350844
"3185",3185,"CCC_Rural Towns","Boston_South End",NA,NA,NA,423.001951534251,35.5283318923893
"3186",3186,"CCC_Rural Towns","Boston_West Roxbury",NA,NA,NA,21.2429522427053,-58.3189767097119
"3187",3187,"CCC_Rural Towns","Brockton_Ward 1",0,0,0,-99.999892653676,-99.9997101430694
"3188",3188,"CCC_Rural Towns","Brockton_Ward 2",0,0,0,-99.9997888203872,-99.9995713385927
"3189",3189,"CCC_Rural Towns","Brockton_Ward 4",0,0,0,-99.9998897621395,-99.9996992695107
"3190",3190,"CCC_Rural Towns","Brockton_Ward 5",0,0,0,-99.9998534256511,-99.9996397399062
"3191",3191,"CCC_Rural Towns","Brockton_Ward 6",0,0,0,-99.9998640055786,-99.9996037316063
"3192",3192,"CCC_Rural Towns","Brockton_Ward 7",NA,NA,NA,164.912543599965,-21.2699211045376
"3193",3193,"CCC_Rural Towns","BRPC_Developing Suburbs",NA,NA,NA,173.449895459057,106.297071615745
"3194",3194,"CCC_Rural Towns","BRPC_Regional Urban Centers",0,0,0,-99.9999624464071,-99.9991385232692
"3195",3195,"CCC_Rural Towns","BRPC_Rural Towns",0,0,0,-99.9999125545268,-99.9995033169892
"3196",3196,"CCC_Rural Towns","Cambridge_All",NA,NA,NA,141.363606493074,-2.23446542624831
"3197",3197,"CCC_Rural Towns","CCC_Developing Suburbs",NA,NA,NA,1788.20725892221,1319.51444082695
"3198",3198,"CCC_Rural Towns","CCC_Maturing Suburbs",71,87,54,1862.20144944688,1146.76102696097
"3199",3199,"CCC_Rural Towns","CCC_Rural Towns",6244,6426,6089,NA,NA
"3200",3200,"CCC_Rural Towns","Chelsea_Ward 3",0,0,0,-99.9998453406669,-99.9996326953412
"3201",3201,"CCC_Rural Towns","Chelsea_Ward 4",0,0,0,-99.9998350286446,-99.9996336620612
"3202",3202,"CCC_Rural Towns","CMRPC_Developing Suburbs",NA,NA,NA,-48.5724376990448,-61.0469325471557
"3203",3203,"CCC_Rural Towns","CMRPC_Regional Urban Centers",0,0,0,-99.999926490838,-99.9997099330221
"3204",3204,"CCC_Rural Towns","Everett_All",0,0,0,-99.9999393716678,-99.9998280479341
"3205",3205,"CCC_Rural Towns","Fall River_Sector 1",0,0,0,-99.9998095158124,-99.9994207553028
"3206",3206,"CCC_Rural Towns","Fall River_Sector 2",0,0,0,-99.9998582912745,-99.9995581107614
"3207",3207,"CCC_Rural Towns","Fall River_Sector 5",0,0,0,-99.9997506543051,-99.9994153936916
"3208",3208,"CCC_Rural Towns","Fall River_Sector 7",0,0,0,-99.9998887715046,-99.9991861745393
"3209",3209,"CCC_Rural Towns","Fall River_Sector 8",0,0,0,-99.9998216548786,-99.9995519139678
"3210",3210,"CCC_Rural Towns","Fall River_Sector 9",0,0,0,-99.9998564323178,-99.9996260290859
"3211",3211,"CCC_Rural Towns","Framingham_All",0,0,0,-99.9999664943297,-99.9998741866213
"3212",3212,"CCC_Rural Towns","FRCOG_Developing Suburbs",NA,NA,NA,194.948323806273,106.885971669832
"3213",3213,"CCC_Rural Towns","FRCOG_Rural Towns",NA,NA,NA,10.8699336202776,-24.453318339963
"3214",3214,"CCC_Rural Towns","ICC_Inner Core",NA,NA,NA,-27.5958796456112,-67.5510233582265
"3215",3215,"CCC_Rural Towns","ICC_Maturing Suburbs",NA,NA,NA,-33.5783478581745,-71.1203781172539
"3216",3216,"CCC_Rural Towns","Lawrence_Ward A",0,0,0,-99.9998504864471,-99.998935258723
"3217",3217,"CCC_Rural Towns","Lawrence_Ward C",0,0,0,-99.9997983674333,-99.9994650561356
"3218",3218,"CCC_Rural Towns","Lawrence_Ward D",0,0,0,-99.9998618316293,-99.9989674959056
"3219",3219,"CCC_Rural Towns","Lawrence_Ward E",0,0,0,-99.9998256411665,-99.9995868216135
"3220",3220,"CCC_Rural Towns","Lawrence_Ward F",NA,NA,NA,261.955446181929,19.0436879910504
"3221",3221,"CCC_Rural Towns","Lowell_Acre",0,0,0,-99.9997019274782,-99.9993477327952
"3222",3222,"CCC_Rural Towns","Lowell_Centralville",0,0,0,-99.9998484830728,-99.9996047972266
"3223",3223,"CCC_Rural Towns","Lowell_Highlands",0,0,0,-99.999876203437,-99.9996686975275
"3224",3224,"CCC_Rural Towns","Lowell_Lower Belvidere",0,0,0,-99.9999315849549,-99.9994923298733
"3225",3225,"CCC_Rural Towns","Lowell_Lower Highlands",0,0,0,-99.9997859690836,-99.9994342060994
"3226",3226,"CCC_Rural Towns","Lowell_Pawtucketville",0,0,0,-99.9998510707264,-99.9995907920765
"3227",3227,"CCC_Rural Towns","Lynn_Ward 1",0,0,0,-99.9998584083021,-99.9995914697631
"3228",3228,"CCC_Rural Towns","Lynn_Ward 3",0,0,0,-99.9998906422821,-99.9997107602073
"3229",3229,"CCC_Rural Towns","Lynn_Ward 4",0,0,0,-99.9998427411419,-99.9996672549686
"3230",3230,"CCC_Rural Towns","Lynn_Ward 5",0,0,0,-99.9998475402601,-99.9996128694272
"3231",3231,"CCC_Rural Towns","Lynn_Ward 7",NA,NA,NA,125.442473879601,-14.1236135915465
"3232",3232,"CCC_Rural Towns","MAGIC_Developing Suburbs",NA,NA,NA,-30.4441808835466,-63.6818900680742
"3233",3233,"CCC_Rural Towns","MAGIC_Maturing Suburbs",0,0,0,-99.9999818424782,-99.9997848841083
"3234",3234,"CCC_Rural Towns","Metrowest_Developing Suburbs",0,0,0,-99.9998549956367,-99.9997778097932
"3235",3235,"CCC_Rural Towns","Metrowest_Maturing Suburbs",0,0,0,-99.9999802031235,-99.9998013050872
"3236",3236,"CCC_Rural Towns","Metrowest_Regional Urban Centers",0,0,0,-99.9999428477162,-99.99981460448
"3237",3237,"CCC_Rural Towns","MRPC_Developing Suburbs",NA,NA,NA,-67.8307476957779,-80.328739895239
"3238",3238,"CCC_Rural Towns","MRPC_Regional Urban Centers",NA,NA,NA,-66.2725053297334,-76.3809589389101
"3239",3239,"CCC_Rural Towns","MRPC_Rural Towns",0,0,0,-99.9998847542729,-99.9995670042607
"3240",3240,"CCC_Rural Towns","MVC_Developing Suburbs",NA,NA,NA,488.327782101683,722.146520811576
"3241",3241,"CCC_Rural Towns","MVPC_Developing Suburbs",0,0,0,-99.9999813443321,-99.9997884198193
"3242",3242,"CCC_Rural Towns","MVPC_Regional Urban Centers",NA,NA,NA,-75.5737170897363,-84.3386969420625
"3243",3243,"CCC_Rural Towns","New Bedford_Neighborhood 1",0,0,0,-99.9998812794142,-99.9996562749802
"3244",3244,"CCC_Rural Towns","New Bedford_Neighborhood 2",0,0,0,-99.9998583107925,-99.9996042842704
"3245",3245,"CCC_Rural Towns","New Bedford_Neighborhood 3",0,0,0,-99.9998634821054,-99.9996049092862
"3246",3246,"CCC_Rural Towns","New Bedford_Neighborhood 4",0,0,0,-99.9998537381974,-99.9996060175583
"3247",3247,"CCC_Rural Towns","New Bedford_Neighborhood 5",0,0,0,-99.999871129222,-99.9995499734331
"3248",3248,"CCC_Rural Towns","Newton_Ward 2",NA,NA,NA,29.7322320845296,-59.5787135229577
"3249",3249,"CCC_Rural Towns","Newton_Ward 3",NA,NA,NA,652.967793527708,162.706220352633
"3250",3250,"CCC_Rural Towns","Newton_Ward 5",0,0,0,-99.9998933115436,-99.9997450152593
"3251",3251,"CCC_Rural Towns","Newton_Ward 7",0,0,0,-99.9997152598984,-99.9996889970394
"3252",3252,"CCC_Rural Towns","Newton_Ward 8",0,0,0,-99.9997931449677,-99.9997745667379
"3253",3253,"CCC_Rural Towns","NMCOG_Developing Suburbs",NA,NA,NA,-57.3114276561018,-72.9620927916086
"3254",3254,"CCC_Rural Towns","NMCOG_Maturing Suburbs",0,0,0,-99.9999802551773,-99.9997559074494
"3255",3255,"CCC_Rural Towns","NSPC_Maturing Suburbs",NA,NA,NA,-38.4236710642081,-67.1616886386285
"3256",3256,"CCC_Rural Towns","NSPC_Regional Urban Centers",0,0,0,-99.9999451677922,-99.9998310188629
"3257",3257,"CCC_Rural Towns","NSTF_Developing Suburbs",0,0,0,-99.9999601194208,-99.9995703131572
"3258",3258,"CCC_Rural Towns","NSTF_Maturing Suburbs",0,0,0,-99.9999664243572,-99.9996492710388
"3259",3259,"CCC_Rural Towns","NSTF_Regional Urban Centers",NA,NA,NA,-78.4684030773358,-85.9761359901553
"3260",3260,"CCC_Rural Towns","OCPC_Developing Suburbs",NA,NA,NA,-27.0473171694299,-59.1151598496216
"3261",3261,"CCC_Rural Towns","PVPC_Developing Suburbs",0,0,0,-99.9999880568999,-99.9994818514436
